list_date	action	fund_code	fund_name	company	inception_date	redemption_date	growth_quota_date	dividend_freq	tsumitate_target
20230621	追加	AY311189	ａｕスマート・ベーシック（安定）	ａｕアセットマネジメント株式会社	20180919		20240104	年1回	対象
20230621	追加	AY312189	ａｕスマート・ベーシック（安定成長）	ａｕアセットマネジメント株式会社	20180919		20240104	年1回	対象
20230621	追加	4431207B	ＢＮＰパリバ・ブラジル・ファンド（株式型）　	ＢＮＰパリバ・アセットマネジメント株式会社	20071116		20240104	年2回	非対象
20230621	追加	4431307B	ＢＮＰパリバ・ブラジル・ファンド（バランス型）　	ＢＮＰパリバ・アセットマネジメント株式会社	20071116		20240104	四半期	非対象
20230621	追加	1731798B	ＪＰＭアジア株・アクティブ・オープン	ＪＰモルガン・アセット・マネジメント株式会社	19981130		20240104	年2回	非対象
20230621	追加	17311951	ＪＰＭグローバル・ＣＢ・オープン’９５	ＪＰモルガン・アセット・マネジメント株式会社	19950131	20440130	20240104	年2回	非対象
20230621	追加	1731199C	ＪＰＭザ・ジャパン	ＪＰモルガン・アセット・マネジメント株式会社	19991215		20240104	年1回	非対象
20230621	追加	1731117A	ＪＰＭザ・ジャパン（年４回決算型）	ＪＰモルガン・アセット・マネジメント株式会社	20171010	20441214	20240104	四半期	非対象
20230621	追加	17311137	ＪＰＭジャパンマイスター	ＪＰモルガン・アセット・マネジメント株式会社	20130712	20440711	20240104	年1回	非対象
20230621	追加	17311134	ＪＰＭ北米高配当・成長株ファンド（為替ヘッジなし、３ヵ月決算型）	ＪＰモルガン・アセット・マネジメント株式会社	20130411	20440826	20240104	四半期	非対象
20230621	追加	17313134	ＪＰＭ北米高配当・成長株ファンド（為替ヘッジなし、年２回決算型）	ＪＰモルガン・アセット・マネジメント株式会社	20130411	20440826	20240104	年2回	非対象
20230621	追加	17312134	ＪＰＭ北米高配当・成長株ファンド（米ドル対円ヘッジあり、３ヵ月決算型）	ＪＰモルガン・アセット・マネジメント株式会社	20130411	20440826	20240104	四半期	非対象
20230621	追加	17314134	ＪＰＭ北米高配当・成長株ファンド（米ドル対円ヘッジあり、年２回決算型）	ＪＰモルガン・アセット・マネジメント株式会社	20130411	20440826	20240104	年2回	非対象
